start_date,end_date,reported_date,country,indicator,infl_gw_rate,frequency,currency,author
1/4/1987,6/30/1987,null,USA,inflation,1.313825022,quarterly,USD,kshah5@scu.edu
1/7/1987,9/30/1987,null,USA,inflation,1.149425287,quarterly,USD,kshah5@scu.edu
1/10/1987,12/31/1987,null,USA,inflation,0.844988345,quarterly,USD,kshah5@scu.edu
1/1/1988,3/31/1988,null,USA,inflation,0.606761052,quarterly,USD,kshah5@scu.edu
1/4/1988,6/30/1988,null,USA,inflation,1.263641585,quarterly,USD,kshah5@scu.edu
1/7/1988,9/30/1988,null,USA,inflation,1.33295519,quarterly,USD,kshah5@scu.edu
1/10/1988,12/31/1988,null,USA,inflation,1.03554436,quarterly,USD,kshah5@scu.edu
1/1/1989,3/31/1989,null,USA,inflation,1.108033241,quarterly,USD,kshah5@scu.edu
1/4/1989,6/30/1989,null,USA,inflation,1.643835616,quarterly,USD,kshah5@scu.edu
1/7/1989,9/30/1989,null,USA,inflation,0.808625337,quarterly,USD,kshah5@scu.edu
1/10/1989,12/31/1989,null,USA,inflation,0.962566845,quarterly,USD,kshah5@scu.edu
1/1/1990,3/31/1990,null,USA,inflation,1.721398305,quarterly,USD,kshah5@scu.edu
1/4/1990,6/30/1990,null,USA,inflation,1.015360583,quarterly,USD,kshah5@scu.edu
1/7/1990,9/30/1990,null,USA,inflation,1.726804124,quarterly,USD,kshah5@scu.edu
1/10/1990,12/31/1990,null,USA,inflation,1.621484672,quarterly,USD,kshah5@scu.edu
1/1/1991,3/31/1991,null,USA,inflation,0.822737472,quarterly,USD,kshah5@scu.edu
1/4/1991,6/30/1991,null,USA,inflation,0.59347181,quarterly,USD,kshah5@scu.edu
1/7/1991,9/30/1991,null,USA,inflation,0.786627335,quarterly,USD,kshah5@scu.edu
1/10/1991,12/31/1991,null,USA,inflation,0.756097561,quarterly,USD,kshah5@scu.edu
1/1/1992,3/31/1992,null,USA,inflation,0.702009199,quarterly,USD,kshah5@scu.edu
1/4/1992,6/30/1992,null,USA,inflation,0.817307692,quarterly,USD,kshah5@scu.edu
1/7/1992,9/30/1992,null,USA,inflation,0.78683834,quarterly,USD,kshah5@scu.edu
1/10/1992,12/31/1992,null,USA,inflation,0.709723208,quarterly,USD,kshah5@scu.edu
1/1/1993,3/31/1993,null,USA,inflation,0.845665962,quarterly,USD,kshah5@scu.edu
1/4/1993,6/30/1993,null,USA,inflation,0.768693222,quarterly,USD,kshah5@scu.edu
1/7/1993,9/30/1993,null,USA,inflation,0.392972723,quarterly,USD,kshah5@scu.edu
1/10/1993,12/31/1993,null,USA,inflation,0.690766751,quarterly,USD,kshah5@scu.edu
1/1/1994,3/31/1994,null,USA,inflation,0.640292705,quarterly,USD,kshah5@scu.edu
1/4/1994,6/30/1994,null,USA,inflation,0.636219041,quarterly,USD,kshah5@scu.edu
1/7/1994,9/30/1994,null,USA,inflation,0.880559946,quarterly,USD,kshah5@scu.edu
1/10/1994,12/31/1994,null,USA,inflation,0.470008953,quarterly,USD,kshah5@scu.edu
1/1/1995,3/31/1995,null,USA,inflation,0.824237024,quarterly,USD,kshah5@scu.edu
1/4/1995,6/30/1995,null,USA,inflation,0.883782589,quarterly,USD,kshah5@scu.edu
1/7/1995,9/30/1995,null,USA,inflation,0.438020149,quarterly,USD,kshah5@scu.edu
1/10/1995,12/31/1995,null,USA,inflation,0.47972089,quarterly,USD,kshah5@scu.edu
1/1/1996,3/31/1996,null,USA,inflation,0.911458333,quarterly,USD,kshah5@scu.edu
1/4/1996,6/30/1996,null,USA,inflation,0.989247312,quarterly,USD,kshah5@scu.edu
1/7/1996,9/30/1996,null,USA,inflation,0.532367973,quarterly,USD,kshah5@scu.edu
1/10/1996,12/31/1996,null,USA,inflation,0.720186401,quarterly,USD,kshah5@scu.edu
1/1/1997,3/31/1997,null,USA,inflation,0.672975815,quarterly,USD,kshah5@scu.edu
1/4/1997,6/30/1997,null,USA,inflation,0.396908293,quarterly,USD,kshah5@scu.edu
1/7/1997,9/30/1997,null,USA,inflation,0.395339159,quarterly,USD,kshah5@scu.edu
1/10/1997,12/31/1997,null,USA,inflation,0.393782383,quarterly,USD,kshah5@scu.edu
1/1/1998,3/31/1998,null,USA,inflation,0.268373245,quarterly,USD,kshah5@scu.edu
1/4/1998,6/30/1998,null,USA,inflation,0.535309862,quarterly,USD,kshah5@scu.edu
1/7/1998,9/30/1998,null,USA,inflation,0.389105058,quarterly,USD,kshah5@scu.edu
1/10/1998,12/31/1998,null,USA,inflation,0.346797226,quarterly,USD,kshah5@scu.edu
1/1/1999,3/31/1999,null,USA,inflation,0.386257369,quarterly,USD,kshah5@scu.edu
1/4/1999,6/30/1999,null,USA,inflation,0.972053463,quarterly,USD,kshah5@scu.edu
1/7/1999,9/30/1999,null,USA,inflation,0.621740874,quarterly,USD,kshah5@scu.edu
1/10/1999,12/31/1999,null,USA,inflation,0.617899143,quarterly,USD,kshah5@scu.edu
1/1/2000,3/31/2000,null,USA,inflation,0.990491284,quarterly,USD,kshah5@scu.edu
1/4/2000,6/30/2000,null,USA,inflation,1.059238917,quarterly,USD,kshah5@scu.edu
1/7/2000,9/30/2000,null,USA,inflation,0.795807453,quarterly,USD,kshah5@scu.edu
1/10/2000,12/31/2000,null,USA,inflation,0.539187368,quarterly,USD,kshah5@scu.edu
1/1/2001,3/31/2001,null,USA,inflation,0.957670944,quarterly,USD,kshah5@scu.edu
1/4/2001,6/30/2001,null,USA,inflation,1.043445267,quarterly,USD,kshah5@scu.edu
1/7/2001,9/30/2001,null,USA,inflation,0.131430717,quarterly,USD,kshah5@scu.edu
1/10/2001,12/31/2001,null,USA,inflation,-0.281267579,quarterly,USD,kshah5@scu.edu
1/1/2002,3/31/2002,null,USA,inflation,0.357277172,quarterly,USD,kshah5@scu.edu
1/4/2002,6/30/2002,null,USA,inflation,1.086752857,quarterly,USD,kshah5@scu.edu
1/7/2002,9/30/2002,null,USA,inflation,0.426320667,quarterly,USD,kshah5@scu.edu
1/10/2002,12/31/2002,null,USA,inflation,0.313768918,quarterly,USD,kshah5@scu.edu
1/1/2003,3/31/2003,null,USA,inflation,1.011959522,quarterly,USD,kshah5@scu.edu
1/4/2003,6/30/2003,null,USA,inflation,0.364298725,quarterly,USD,kshah5@scu.edu
1/7/2003,9/30/2003,null,USA,inflation,0.490018149,quarterly,USD,kshah5@scu.edu
1/10/2003,12/31/2003,null,USA,inflation,0.018060321,quarterly,USD,kshah5@scu.edu
1/1/2004,3/31/2004,null,USA,inflation,0.902853016,quarterly,USD,kshah5@scu.edu
1/4/2004,6/30/2004,null,USA,inflation,1.431639227,quarterly,USD,kshah5@scu.edu
1/7/2004,9/30/2004,null,USA,inflation,0.352858151,quarterly,USD,kshah5@scu.edu
1/10/2004,12/31/2004,null,USA,inflation,0.597749648,quarterly,USD,kshah5@scu.edu
1/1/2005,3/31/2005,null,USA,inflation,0.629150647,quarterly,USD,kshah5@scu.edu
1/4/2005,6/30/2005,null,USA,inflation,1.337269885,quarterly,USD,kshah5@scu.edu
1/7/2005,9/30/2005,null,USA,inflation,1.216795201,quarterly,USD,kshah5@scu.edu
1/10/2005,12/31/2005,null,USA,inflation,0.507958009,quarterly,USD,kshah5@scu.edu
1/1/2006,3/31/2006,null,USA,inflation,0.539083558,quarterly,USD,kshah5@scu.edu
1/4/2006,6/30/2006,null,USA,inflation,1.692359249,quarterly,USD,kshah5@scu.edu
1/7/2006,9/30/2006,null,USA,inflation,0.56022409,quarterly,USD,kshah5@scu.edu
1/10/2006,12/31/2006,null,USA,inflation,-0.85203998,quarterly,USD,kshah5@scu.edu
1/1/2007,3/31/2007,null,USA,inflation,1.019170385,quarterly,USD,kshah5@scu.edu
1/4/2007,6/30/2007,null,USA,inflation,1.917329089,quarterly,USD,kshah5@scu.edu
1/7/2007,9/30/2007,null,USA,inflation,0.275928711,quarterly,USD,kshah5@scu.edu
1/10/2007,12/31/2007,null,USA,inflation,0.711214555,quarterly,USD,kshah5@scu.edu
1/1/2008,3/31/2008,null,USA,inflation,1.136773642,quarterly,USD,kshah5@scu.edu
1/4/2008,6/30/2008,null,USA,inflation,2.195344656,quarterly,USD,kshah5@scu.edu
1/7/2008,9/30/2008,null,USA,inflation,1.163055346,quarterly,USD,kshah5@scu.edu
1/10/2008,12/31/2008,null,USA,inflation,-2.828529429,quarterly,USD,kshah5@scu.edu
1/1/2009,3/31/2009,null,USA,inflation,-0.497633075,quarterly,USD,kshah5@scu.edu
1/4/2009,6/30/2009,null,USA,inflation,1.060302337,quarterly,USD,kshah5@scu.edu
1/7/2009,9/30/2009,null,USA,inflation,0.679071982,quarterly,USD,kshah5@scu.edu
1/10/2009,12/31/2009,null,USA,inflation,0.201188589,quarterly,USD,kshah5@scu.edu
1/1/2010,3/31/2010,null,USA,inflation,0.401415054,quarterly,USD,kshah5@scu.edu
1/4/2010,6/30/2010,null,USA,inflation,0.475072152,quarterly,USD,kshah5@scu.edu
1/7/2010,9/30/2010,null,USA,inflation,0.093250498,quarterly,USD,kshah5@scu.edu
1/10/2010,12/31/2010,null,USA,inflation,0.294916321,quarterly,USD,kshah5@scu.edu
1/1/2011,3/31/2011,null,USA,inflation,1.264822375,quarterly,USD,kshah5@scu.edu
1/4/2011,6/30/2011,null,USA,inflation,1.743310892,quarterly,USD,kshah5@scu.edu
1/7/2011,9/30/2011,null,USA,inflation,0.408517984,quarterly,USD,kshah5@scu.edu
1/10/2011,12/31/2011,null,USA,inflation,-0.15205577,quarterly,USD,kshah5@scu.edu
1/1/2012,3/31/2012,null,USA,inflation,0.795638656,quarterly,USD,kshah5@scu.edu
1/4/2012,6/30/2012,null,USA,inflation,0.827531738,quarterly,USD,kshah5@scu.edu
1/7/2012,9/30/2012,null,USA,inflation,0.219328148,quarterly,USD,kshah5@scu.edu
1/10/2012,12/31/2012,null,USA,inflation,0.03604047,quarterly,USD,kshah5@scu.edu
1/1/2013,3/31/2013,null,USA,inflation,0.590329876,quarterly,USD,kshah5@scu.edu
1/4/2013,6/30/2013,null,USA,inflation,0.540980612,quarterly,USD,kshah5@scu.edu
1/7/2013,9/30/2013,null,USA,inflation,0.377979341,quarterly,USD,kshah5@scu.edu
1/10/2013,12/31/2013,null,USA,inflation,-0.279067646,quarterly,USD,kshah5@scu.edu
1/1/2014,3/31/2014,null,USA,inflation,0.76122253,quarterly,USD,kshah5@scu.edu
1/4/2014,6/30/2014,null,USA,inflation,1.180867814,quarterly,USD,kshah5@scu.edu
1/7/2014,9/30/2014,null,USA,inflation,0.114675844,quarterly,USD,kshah5@scu.edu
1/10/2014,12/31/2014,null,USA,inflation,-0.803351757,quarterly,USD,kshah5@scu.edu
1/1/2015,3/31/2015,null,USA,inflation,-0.543199002,quarterly,USD,kshah5@scu.edu
1/4/2015,6/30/2015,null,USA,inflation,1.205595644,quarterly,USD,kshah5@scu.edu
1/7/2015,9/30/2015,null,USA,inflation,0.262677374,quarterly,USD,kshah5@scu.edu
1/10/2015,12/31/2015,null,USA,inflation,-0.449843688,quarterly,USD,kshah5@scu.edu
1/1/2016,3/31/2016,null,USA,inflation,0.064634066,quarterly,USD,kshah5@scu.edu
1/4/2016,6/30/2016,null,USA,inflation,1.172350557,quarterly,USD,kshah5@scu.edu
1/7/2016,9/30/2016,null,USA,inflation,0.332681941,quarterly,USD,kshah5@scu.edu
1/10/2016,12/31/2016,null,USA,inflation,0.222574197,quarterly,USD,kshah5@scu.edu
1/1/2017,3/31/2017,null,USA,inflation,0.790736963,quarterly,USD,kshah5@scu.edu
1/4/2017,6/30/2017,null,USA,inflation,0.543517706,quarterly,USD,kshah5@scu.edu
1/7/2017,9/30/2017,null,USA,inflation,0.396615691,quarterly,USD,kshah5@scu.edu
1/10/2017,12/31/2017,null,USA,inflation,0.370629636,quarterly,USD,kshah5@scu.edu
1/1/2018,3/31/2018,null,USA,inflation,0.88611838,quarterly,USD,kshah5@scu.edu
1/4/2018,6/30/2018,null,USA,inflation,1.033075567,quarterly,USD,kshah5@scu.edu
1/7/2018,9/30/2018,null,USA,inflation,0.327267568,quarterly,USD,kshah5@scu.edu
1/10/2018,12/31/2018,null,USA,inflation,-0.057494736,quarterly,USD,kshah5@scu.edu
1/1/2019,3/31/2019,null,USA,inflation,0.335116034,quarterly,USD,kshah5@scu.edu
1/4/2019,6/30/2019,null,USA,inflation,1.198513227,quarterly,USD,kshah5@scu.edu
1/7/2019,9/30/2019,null,USA,inflation,0.274166008,quarterly,USD,kshah5@scu.edu
1/10/2019,12/31/2019,null,USA,inflation,0.213017997,quarterly,USD,kshah5@scu.edu
1/1/2020,3/31/2020,null,USA,inflation,0.419427422,quarterly,USD,kshah5@scu.edu
