date,symbols,open,high,low,close,adj_close,bond_ret,volume,frequency,currency,author
3/1/1982,DGS3MO,,,,,12.81,0.00161068,,daily,USD,dzhang4@scu.edu
3/2/1982,DGS3MO,,,,,13.22,-0.000691306,,daily,USD,dzhang4@scu.edu
3/3/1982,DGS3MO,,,,,12.85,0.00133639,,daily,USD,dzhang4@scu.edu
3/4/1982,DGS3MO,,,,,12.85,0.000368792,,daily,USD,dzhang4@scu.edu
3/5/1982,DGS3MO,,,,,12.86,0.000342962,,daily,USD,dzhang4@scu.edu
3/8/1982,DGS3MO,,,,,12.68,0.001572213,,daily,USD,dzhang4@scu.edu
3/9/1982,DGS3MO,,,,,12.93,-0.000281708,,daily,USD,dzhang4@scu.edu
3/10/1982,DGS3MO,,,,,13,0.000190319,,daily,USD,dzhang4@scu.edu
3/11/1982,DGS3MO,,,,,13.24,-0.000246914,,daily,USD,dzhang4@scu.edu
3/12/1982,DGS3MO,,,,,13.4,-3.33E-05,,daily,USD,dzhang4@scu.edu
3/15/1982,DGS3MO,,,,,13.47,0.000974306,,daily,USD,dzhang4@scu.edu
3/16/1982,DGS3MO,,,,,13.33,0.000749403,,daily,USD,dzhang4@scu.edu
3/17/1982,DGS3MO,,,,,13.36,0.000305457,,daily,USD,dzhang4@scu.edu
3/18/1982,DGS3MO,,,,,13.45,0.00015116,,daily,USD,dzhang4@scu.edu
3/19/1982,DGS3MO,,,,,13.69,-0.000234266,,daily,USD,dzhang4@scu.edu
3/22/1982,DGS3MO,,,,,13.26,0.002294358,,daily,USD,dzhang4@scu.edu
3/23/1982,DGS3MO,,,,,13.11,0.00076882,,daily,USD,dzhang4@scu.edu
3/24/1982,DGS3MO,,,,,13.39,-0.000347213,,daily,USD,dzhang4@scu.edu
3/25/1982,DGS3MO,,,,,13.35,0.00048829,,daily,USD,dzhang4@scu.edu
3/26/1982,DGS3MO,,,,,13.69,-0.000495711,,daily,USD,dzhang4@scu.edu
3/29/1982,DGS3MO,,,,,14.16,-3.53775E-05,,daily,USD,dzhang4@scu.edu
3/30/1982,DGS3MO,,,,,14.15,0.000433686,,daily,USD,dzhang4@scu.edu
3/31/1982,DGS3MO,,,,,13.99,0.000822139,,daily,USD,dzhang4@scu.edu
4/1/1982,DGS3MO,,,,,13.87,0.000713568,,daily,USD,dzhang4@scu.edu
4/2/1982,DGS3MO,,,,,13.95,0.000191933,,daily,USD,dzhang4@scu.edu
4/5/1982,DGS3MO,,,,,13.76,0.001696671,,daily,USD,dzhang4@scu.edu
4/6/1982,DGS3MO,,,,,13.77,0.000369948,,daily,USD,dzhang4@scu.edu
4/7/1982,DGS3MO,,,,,13.8,0.000318463,,daily,USD,dzhang4@scu.edu
4/8/1982,DGS3MO,,,,,13.74,0.000552391,,daily,USD,dzhang4@scu.edu
4/12/1982,DGS3MO,,,,,13.43,0.002383541,,daily,USD,dzhang4@scu.edu
4/13/1982,DGS3MO,,,,,13.33,0.000644701,,daily,USD,dzhang4@scu.edu
4/14/1982,DGS3MO,,,,,13.44,9.86E-05,,daily,USD,dzhang4@scu.edu
4/15/1982,DGS3MO,,,,,13.47,0.000308706,,daily,USD,dzhang4@scu.edu
4/16/1982,DGS3MO,,,,,13.21,0.001059857,,daily,USD,dzhang4@scu.edu
4/19/1982,DGS3MO,,,,,13.04,0.001577945,,daily,USD,dzhang4@scu.edu
4/20/1982,DGS3MO,,,,,13.07,0.000296901,,daily,USD,dzhang4@scu.edu
4/21/1982,DGS3MO,,,,,12.73,0.001254031,,daily,USD,dzhang4@scu.edu
4/22/1982,DGS3MO,,,,,12.99,-0.000306132,,daily,USD,dzhang4@scu.edu
4/23/1982,DGS3MO,,,,,12.99,0.000372945,,daily,USD,dzhang4@scu.edu
4/26/1982,DGS3MO,,,,,13.17,6.54E-04,,daily,USD,dzhang4@scu.edu
4/27/1982,DGS3MO,,,,,13.04,0.000714353,,daily,USD,dzhang4@scu.edu
4/28/1982,DGS3MO,,,,,13.09,0.000245216,,daily,USD,dzhang4@scu.edu
4/29/1982,DGS3MO,,,,,13.2,9.16E-05,,daily,USD,dzhang4@scu.edu
4/30/1982,DGS3MO,,,,,13.15,0.000508445,,daily,USD,dzhang4@scu.edu
5/3/1982,DGS3MO,,,,,13.46,0.000331739,,daily,USD,dzhang4@scu.edu
5/4/1982,DGS3MO,,,,,13.6,2.47E-05,,daily,USD,dzhang4@scu.edu
5/5/1982,DGS3MO,,,,,13.39,0.000934553,,daily,USD,dzhang4@scu.edu
5/6/1982,DGS3MO,,,,,13.08,0.001186668,,daily,USD,dzhang4@scu.edu
5/7/1982,DGS3MO,,,,,13.02,0.000530687,,daily,USD,dzhang4@scu.edu
5/10/1982,DGS3MO,,,,,13.21,0.000630524,,daily,USD,dzhang4@scu.edu
5/11/1982,DGS3MO,,,,,12.97,0.000999968,,daily,USD,dzhang4@scu.edu
5/12/1982,DGS3MO,,,,,13.05,0.000165649,,daily,USD,dzhang4@scu.edu
5/13/1982,DGS3MO,,,,,13.09,0.000271353,,daily,USD,dzhang4@scu.edu
5/14/1982,DGS3MO,,,,,12.92,0.000815292,,daily,USD,dzhang4@scu.edu
5/17/1982,DGS3MO,,,,,13.02,0.000854259,,daily,USD,dzhang4@scu.edu
5/18/1982,DGS3MO,,,,,12.88,0.000735611,,daily,USD,dzhang4@scu.edu
5/19/1982,DGS3MO,,,,,12.47,0.001428785,,daily,USD,dzhang4@scu.edu
5/20/1982,DGS3MO,,,,,12,0.001570344,,daily,USD,dzhang4@scu.edu
5/21/1982,DGS3MO,,,,,11.99,0.000369416,,daily,USD,dzhang4@scu.edu
5/24/1982,DGS3MO,,,,,11.99,0.001030042,,daily,USD,dzhang4@scu.edu
5/25/1982,DGS3MO,,,,,12.07,0.000137167,,daily,USD,dzhang4@scu.edu
5/26/1982,DGS3MO,,,,,12.04,0.000423043,,daily,USD,dzhang4@scu.edu
5/27/1982,DGS3MO,,,,,12.06,0.000293272,,daily,USD,dzhang4@scu.edu
5/28/1982,DGS3MO,,,,,11.97,0.000577409,,daily,USD,dzhang4@scu.edu
6/1/1982,DGS3MO,,,,,12.55,-0.000123702,,daily,USD,dzhang4@scu.edu
6/2/1982,DGS3MO,,,,,12.69,-1.43E-06,,daily,USD,dzhang4@scu.edu
6/3/1982,DGS3MO,,,,,12.63,0.000518964,,daily,USD,dzhang4@scu.edu
6/4/1982,DGS3MO,,,,,12.78,-2.50E-05,,daily,USD,dzhang4@scu.edu
6/7/1982,DGS3MO,,,,,12.71,0.001280926,,daily,USD,dzhang4@scu.edu
6/8/1982,DGS3MO,,,,,12.79,0.000158078,,daily,USD,dzhang4@scu.edu
6/9/1982,DGS3MO,,,,,12.62,0.000806051,,daily,USD,dzhang4@scu.edu
6/10/1982,DGS3MO,,,,,12.52,0.00062012,,daily,USD,dzhang4@scu.edu
6/11/1982,DGS3MO,,,,,12.55,0.000281592,,daily,USD,dzhang4@scu.edu
6/14/1982,DGS3MO,,,,,12.88,0.000227986,,daily,USD,dzhang4@scu.edu
6/15/1982,DGS3MO,,,,,12.93,0.000240523,,daily,USD,dzhang4@scu.edu
6/16/1982,DGS3MO,,,,,13.03,0.000112813,,daily,USD,dzhang4@scu.edu
6/17/1982,DGS3MO,,,,,13.15,6.40E-05,,daily,USD,dzhang4@scu.edu
6/18/1982,DGS3MO,,,,,13.31,-3.59E-05,,daily,USD,dzhang4@scu.edu
6/21/1982,DGS3MO,,,,,13.11,0.001664555,,daily,USD,dzhang4@scu.edu
6/22/1982,DGS3MO,,,,,13.37,-0.000295519,,daily,USD,dzhang4@scu.edu
6/23/1982,DGS3MO,,,,,13.67,-0.000391704,,daily,USD,dzhang4@scu.edu
6/24/1982,DGS3MO,,,,,13.6,0.000574351,,daily,USD,dzhang4@scu.edu
6/25/1982,DGS3MO,,,,,13.87,-0.000307683,,daily,USD,dzhang4@scu.edu
6/28/1982,DGS3MO,,,,,13.81,0.00135274,,daily,USD,dzhang4@scu.edu
6/29/1982,DGS3MO,,,,,13.8,0.000423223,,daily,USD,dzhang4@scu.edu
6/30/1982,DGS3MO,,,,,13.36,0.001536337,,daily,USD,dzhang4@scu.edu
7/1/1982,DGS3MO,,,,,13.14,0.000952939,,daily,USD,dzhang4@scu.edu
7/2/1982,DGS3MO,,,,,13.36,-0.000191284,,daily,USD,dzhang4@scu.edu
7/6/1982,DGS3MO,,,,,13.18,0.002001287,,daily,USD,dzhang4@scu.edu
7/7/1982,DGS3MO,,,,,13.31,4.25E-05,,daily,USD,dzhang4@scu.edu
7/8/1982,DGS3MO,,,,,12.48,0.00252887,,daily,USD,dzhang4@scu.edu
7/9/1982,DGS3MO,,,,,12.29,0.000848128,,daily,USD,dzhang4@scu.edu
7/12/1982,DGS3MO,,,,,12.22,0.001237179,,daily,USD,dzhang4@scu.edu
7/13/1982,DGS3MO,,,,,12.48,-0.000320342,,daily,USD,dzhang4@scu.edu
7/14/1982,DGS3MO,,,,,12.53,0.000228805,,daily,USD,dzhang4@scu.edu
7/15/1982,DGS3MO,,,,,12.14,0.001365841,,daily,USD,dzhang4@scu.edu
7/16/1982,DGS3MO,,,,,11.68,0.001533772,,daily,USD,dzhang4@scu.edu
7/19/1982,DGS3MO,,,,,11.52,0.001414641,,daily,USD,dzhang4@scu.edu
7/20/1982,DGS3MO,,,,,11.11,0.001384885,,daily,USD,dzhang4@scu.edu
7/21/1982,DGS3MO,,,,,11.19,0.000111714,,daily,USD,dzhang4@scu.edu
7/22/1982,DGS3MO,,,,,10.83,0.001245681,,daily,USD,dzhang4@scu.edu
7/23/1982,DGS3MO,,,,,10.73,0.000566162,,daily,USD,dzhang4@scu.edu
7/26/1982,DGS3MO,,,,,10.87,5.59E-04,,daily,USD,dzhang4@scu.edu
7/27/1982,DGS3MO,,,,,11.12,-0.00033208,,daily,USD,dzhang4@scu.edu
7/28/1982,DGS3MO,,,,,11.41,-0.00042801,,daily,USD,dzhang4@scu.edu
7/29/1982,DGS3MO,,,,,10.97,0.00145855,,daily,USD,dzhang4@scu.edu
7/30/1982,DGS3MO,,,,,10.57,0.001341513,,daily,USD,dzhang4@scu.edu
8/2/1982,DGS3MO,,,,,9.72,0.003087418,,daily,USD,dzhang4@scu.edu
8/3/1982,DGS3MO,,,,,10.18,-0.000901917,,daily,USD,dzhang4@scu.edu
8/4/1982,DGS3MO,,,,,10.12,0.00044408,,daily,USD,dzhang4@scu.edu
8/5/1982,DGS3MO,,,,,10.19,0.000108865,,daily,USD,dzhang4@scu.edu
8/6/1982,DGS3MO,,,,,10.71,-0.001043528,,daily,USD,dzhang4@scu.edu
8/9/1982,DGS3MO,,,,,10.25,0.002098692,,daily,USD,dzhang4@scu.edu
8/10/1982,DGS3MO,,,,,10.42,-0.000143967,,daily,USD,dzhang4@scu.edu
8/11/1982,DGS3MO,,,,,10.37,0.000425529,,daily,USD,dzhang4@scu.edu
8/12/1982,DGS3MO,,,,,9.74,0.001912641,,daily,USD,dzhang4@scu.edu
8/13/1982,DGS3MO,,,,,9.6,0.000636043,,daily,USD,dzhang4@scu.edu
8/16/1982,DGS3MO,,,,,8.98,0.002407787,,daily,USD,dzhang4@scu.edu
8/17/1982,DGS3MO,,,,,8.33,0.001917492,,daily,USD,dzhang4@scu.edu
8/18/1982,DGS3MO,,,,,8.35,0.000185247,,daily,USD,dzhang4@scu.edu
8/19/1982,DGS3MO,,,,,7.76,0.001743337,,daily,USD,dzhang4@scu.edu
8/20/1982,DGS3MO,,,,,7.31,0.001367077,,daily,USD,dzhang4@scu.edu
8/23/1982,DGS3MO,,,,,7.75,-0.00049997,,daily,USD,dzhang4@scu.edu
8/24/1982,DGS3MO,,,,,7.86,-6.09E-05,,daily,USD,dzhang4@scu.edu
8/25/1982,DGS3MO,,,,,7.67,0.00070723,,daily,USD,dzhang4@scu.edu
8/26/1982,DGS3MO,,,,,7.37,0.000981883,,daily,USD,dzhang4@scu.edu
8/27/1982,DGS3MO,,,,,8.1,-0.001650692,,daily,USD,dzhang4@scu.edu
8/30/1982,DGS3MO,,,,,8.44,-0.000178617,,daily,USD,dzhang4@scu.edu
8/31/1982,DGS3MO,,,,,8.72,-0.000475591,,daily,USD,dzhang4@scu.edu
9/1/1982,DGS3MO,,,,,8.73,0.000222063,,daily,USD,dzhang4@scu.edu
9/2/1982,DGS3MO,,,,,8.66,0.000426815,,daily,USD,dzhang4@scu.edu
9/3/1982,DGS3MO,,,,,8.46,0.000756943,,daily,USD,dzhang4@scu.edu
9/7/1982,DGS3MO,,,,,8.68,0.000398427,,daily,USD,dzhang4@scu.edu
9/8/1982,DGS3MO,,,,,8.6,0.000450896,,daily,USD,dzhang4@scu.edu
9/9/1982,DGS3MO,,,,,8.57,0.000320786,,daily,USD,dzhang4@scu.edu
9/10/1982,DGS3MO,,,,,8.66,1.33E-05,,daily,USD,dzhang4@scu.edu
9/13/1982,DGS3MO,,,,,8.41,0.001376467,,daily,USD,dzhang4@scu.edu
9/14/1982,DGS3MO,,,,,8.16,0.000877051,,daily,USD,dzhang4@scu.edu
9/15/1982,DGS3MO,,,,,8.44,-0.00048319,,daily,USD,dzhang4@scu.edu
9/16/1982,DGS3MO,,,,,8.31,0.000571503,,daily,USD,dzhang4@scu.edu
9/17/1982,DGS3MO,,,,,8.23,0.000439974,,daily,USD,dzhang4@scu.edu
9/20/1982,DGS3MO,,,,,8.04,0.001185219,,daily,USD,dzhang4@scu.edu
9/21/1982,DGS3MO,,,,,7.88,0.000636119,,daily,USD,dzhang4@scu.edu
9/22/1982,DGS3MO,,,,,7.58,0.00098836,,daily,USD,dzhang4@scu.edu
9/23/1982,DGS3MO,,,,,7.52,0.00036752,,daily,USD,dzhang4@scu.edu
9/24/1982,DGS3MO,,,,,7.85,-0.000627916,,daily,USD,dzhang4@scu.edu
9/27/1982,DGS3MO,,,,,7.83,0.000718263,,daily,USD,dzhang4@scu.edu
9/28/1982,DGS3MO,,,,,7.72,0.000502333,,daily,USD,dzhang4@scu.edu
9/29/1982,DGS3MO,,,,,7.84,-8.72E-05,,daily,USD,dzhang4@scu.edu
9/30/1982,DGS3MO,,,,,7.88,0.000120132,,daily,USD,dzhang4@scu.edu
10/1/1982,DGS3MO,,,,,7.6,0.000937355,,daily,USD,dzhang4@scu.edu
10/4/1982,DGS3MO,,,,,8.21,-0.000908936,,daily,USD,dzhang4@scu.edu
10/5/1982,DGS3MO,,,,,8.44,-0.000354215,,daily,USD,dzhang4@scu.edu
10/6/1982,DGS3MO,,,,,8.33,0.000520425,,daily,USD,dzhang4@scu.edu
10/7/1982,DGS3MO,,,,,8.04,0.000976729,,daily,USD,dzhang4@scu.edu
10/8/1982,DGS3MO,,,,,8,0.000329966,,daily,USD,dzhang4@scu.edu
10/12/1982,DGS3MO,,,,,7.61,0.001901927,,daily,USD,dzhang4@scu.edu
10/13/1982,DGS3MO,,,,,7.67,6.26E-05,,daily,USD,dzhang4@scu.edu
10/14/1982,DGS3MO,,,,,7.79,-8.86E-05,,daily,USD,dzhang4@scu.edu
10/15/1982,DGS3MO,,,,,7.8,0.00019519,,daily,USD,dzhang4@scu.edu
10/18/1982,DGS3MO,,,,,7.66,0.001019888,,daily,USD,dzhang4@scu.edu
10/19/1982,DGS3MO,,,,,7.73,3.85E-05,,daily,USD,dzhang4@scu.edu
10/20/1982,DGS3MO,,,,,7.8,4.05E-05,,daily,USD,dzhang4@scu.edu
10/21/1982,DGS3MO,,,,,7.81,0.000195478,,daily,USD,dzhang4@scu.edu
10/22/1982,DGS3MO,,,,,7.88,4.28E-05,,daily,USD,dzhang4@scu.edu
10/25/1982,DGS3MO,,,,,8.12,5.78054E-05,,daily,USD,dzhang4@scu.edu
10/26/1982,DGS3MO,,,,,8.24,-7.60E-05,,daily,USD,dzhang4@scu.edu
10/27/1982,DGS3MO,,,,,8.28,0.0001316,,daily,USD,dzhang4@scu.edu
10/28/1982,DGS3MO,,,,,8.17,0.000515674,,daily,USD,dzhang4@scu.edu
10/29/1982,DGS3MO,,,,,8.17,0.000231676,,daily,USD,dzhang4@scu.edu
11/1/1982,DGS3MO,,,,,8.06,0.000975763,,daily,USD,dzhang4@scu.edu
11/3/1982,DGS3MO,,,,,8.06,0.000456986,,daily,USD,dzhang4@scu.edu
11/4/1982,DGS3MO,,,,,7.99,0.000407092,,daily,USD,dzhang4@scu.edu
11/5/1982,DGS3MO,,,,,8.04,9.89E-05,,daily,USD,dzhang4@scu.edu
11/8/1982,DGS3MO,,,,,8.18,0.000326564,,daily,USD,dzhang4@scu.edu
11/9/1982,DGS3MO,,,,,8.28,-2.33E-05,,daily,USD,dzhang4@scu.edu
11/10/1982,DGS3MO,,,,,8.36,3.06E-05,,daily,USD,dzhang4@scu.edu
11/12/1982,DGS3MO,,,,,8.56,-3.63145E-05,,daily,USD,dzhang4@scu.edu
11/15/1982,DGS3MO,,,,,8.8,0.000115812,,daily,USD,dzhang4@scu.edu
11/16/1982,DGS3MO,,,,,8.7,0.000505567,,daily,USD,dzhang4@scu.edu
11/17/1982,DGS3MO,,,,,8.65,0.000374819,,daily,USD,dzhang4@scu.edu
11/18/1982,DGS3MO,,,,,8.55,0.000501114,,daily,USD,dzhang4@scu.edu
11/19/1982,DGS3MO,,,,,8.38,0.00067697,,daily,USD,dzhang4@scu.edu
11/22/1982,DGS3MO,,,,,8.26,0.001019696,,daily,USD,dzhang4@scu.edu
11/23/1982,DGS3MO,,,,,8.22,0.000336391,,daily,USD,dzhang4@scu.edu
11/24/1982,DGS3MO,,,,,8.2,0.000284173,,daily,USD,dzhang4@scu.edu
11/26/1982,DGS3MO,,,,,8.19,0.000490613,,daily,USD,dzhang4@scu.edu
11/29/1982,DGS3MO,,,,,8.54,-0.000196524,,daily,USD,dzhang4@scu.edu
11/30/1982,DGS3MO,,,,,8.56,0.000191307,,daily,USD,dzhang4@scu.edu
12/1/1982,DGS3MO,,,,,8.55,0.000268524,,daily,USD,dzhang4@scu.edu
12/2/1982,DGS3MO,,,,,8.32,0.000830247,,daily,USD,dzhang4@scu.edu
12/3/1982,DGS3MO,,,,,8.1,0.000797703,,daily,USD,dzhang4@scu.edu
12/6/1982,DGS3MO,,,,,8.13,0.000612401,,daily,USD,dzhang4@scu.edu
12/7/1982,DGS3MO,,,,,8.19,7.74E-05,,daily,USD,dzhang4@scu.edu
12/8/1982,DGS3MO,,,,,8.24,0.000104643,,daily,USD,dzhang4@scu.edu
12/9/1982,DGS3MO,,,,,8.23,0.000259229,,daily,USD,dzhang4@scu.edu
12/10/1982,DGS3MO,,,,,8.31,2.92E-05,,daily,USD,dzhang4@scu.edu
12/13/1982,DGS3MO,,,,,8.27,0.000809313,,daily,USD,dzhang4@scu.edu
12/14/1982,DGS3MO,,,,,7.93,0.001102517,,daily,USD,dzhang4@scu.edu
12/15/1982,DGS3MO,,,,,7.88,0.000352261,,daily,USD,dzhang4@scu.edu
12/16/1982,DGS3MO,,,,,8.1,-0.000337765,,daily,USD,dzhang4@scu.edu
12/17/1982,DGS3MO,,,,,8.13,0.0001531,,daily,USD,dzhang4@scu.edu
12/20/1982,DGS3MO,,,,,8.14,0.000666037,,daily,USD,dzhang4@scu.edu
12/21/1982,DGS3MO,,,,,8.17,0.00015425,,daily,USD,dzhang4@scu.edu
12/22/1982,DGS3MO,,,,,8.18,0.000206155,,daily,USD,dzhang4@scu.edu
12/23/1982,DGS3MO,,,,,8.18,0.000231966,,daily,USD,dzhang4@scu.edu
12/27/1982,DGS3MO,,,,,8.16,0.000978908,,daily,USD,dzhang4@scu.edu
12/28/1982,DGS3MO,,,,,8.33,-0.000202464,,daily,USD,dzhang4@scu.edu
12/29/1982,DGS3MO,,,,,8.43,-1.90E-05,,daily,USD,dzhang4@scu.edu
12/30/1982,DGS3MO,,,,,8.29,0.000596743,,daily,USD,dzhang4@scu.edu
12/31/1982,DGS3MO,,,,,8.2,0.000464913,,daily,USD,dzhang4@scu.edu
1/3/1983,DGS3MO,,,,,8.17,0.000774205,,daily,USD,dzhang4@scu.edu
1/4/1983,DGS3MO,,,,,8.28,-4.91E-05,,daily,USD,dzhang4@scu.edu
1/5/1983,DGS3MO,,,,,8.25,0.000311447,,daily,USD,dzhang4@scu.edu
1/6/1983,DGS3MO,,,,,8.2,0.000361625,,daily,USD,dzhang4@scu.edu
1/7/1983,DGS3MO,,,,,8.02,0.000691963,,daily,USD,dzhang4@scu.edu
1/10/1983,DGS3MO,,,,,7.96,0.000835077,,daily,USD,dzhang4@scu.edu
1/11/1983,DGS3MO,,,,,7.94,0.000276616,,daily,USD,dzhang4@scu.edu
1/12/1983,DGS3MO,,,,,7.94,0.000225022,,daily,USD,dzhang4@scu.edu
1/13/1983,DGS3MO,,,,,7.92,0.000276035,,daily,USD,dzhang4@scu.edu
1/14/1983,DGS3MO,,,,,7.79,0.000556009,,daily,USD,dzhang4@scu.edu
1/17/1983,DGS3MO,,,,,7.85,5.09E-04,,daily,USD,dzhang4@scu.edu
1/18/1983,DGS3MO,,,,,7.9,9.49E-05,,daily,USD,dzhang4@scu.edu
1/19/1983,DGS3MO,,,,,7.94,0.000121851,,daily,USD,dzhang4@scu.edu
1/20/1983,DGS3MO,,,,,8.04,-3.00E-05,,daily,USD,dzhang4@scu.edu
1/21/1983,DGS3MO,,,,,8.29,-0.000409906,,daily,USD,dzhang4@scu.edu
1/24/1983,DGS3MO,,,,,8.37,5.01E-04,,daily,USD,dzhang4@scu.edu
1/25/1983,DGS3MO,,,,,8.32,0.000365141,,daily,USD,dzhang4@scu.edu
1/26/1983,DGS3MO,,,,,8.36,0.000133896,,daily,USD,dzhang4@scu.edu
1/27/1983,DGS3MO,,,,,8.3,0.000390381,,daily,USD,dzhang4@scu.edu
1/28/1983,DGS3MO,,,,,8.26,0.00033756,,daily,USD,dzhang4@scu.edu
1/31/1983,DGS3MO,,,,,8.36,4.48E-04,,daily,USD,dzhang4@scu.edu
2/1/1983,DGS3MO,,,,,8.45,7.38E-06,,daily,USD,dzhang4@scu.edu
2/2/1983,DGS3MO,,,,,8.45,0.000239788,,daily,USD,dzhang4@scu.edu
2/3/1983,DGS3MO,,,,,8.43,0.000290867,,daily,USD,dzhang4@scu.edu
2/4/1983,DGS3MO,,,,,8.52,9.36E-06,,daily,USD,dzhang4@scu.edu
2/7/1983,DGS3MO,,,,,8.5,0.00077654,,daily,USD,dzhang4@scu.edu
2/8/1983,DGS3MO,,,,,8.57,6.24E-05,,daily,USD,dzhang4@scu.edu
2/9/1983,DGS3MO,,,,,8.55,0.000294362,,daily,USD,dzhang4@scu.edu
2/10/1983,DGS3MO,,,,,8.45,0.000498148,,daily,USD,dzhang4@scu.edu
2/11/1983,DGS3MO,,,,,8.42,0.000316406,,daily,USD,dzhang4@scu.edu
2/14/1983,DGS3MO,,,,,8.53,4.36E-04,,daily,USD,dzhang4@scu.edu
2/15/1983,DGS3MO,,,,,8.6,6.33E-05,,daily,USD,dzhang4@scu.edu
2/16/1983,DGS3MO,,,,,8.48,0.00055073,,daily,USD,dzhang4@scu.edu
2/17/1983,DGS3MO,,,,,8.38,0.000496072,,daily,USD,dzhang4@scu.edu
2/18/1983,DGS3MO,,,,,8.26,0.000544178,,daily,USD,dzhang4@scu.edu
2/22/1983,DGS3MO,,,,,8.17,0.001166874,,daily,USD,dzhang4@scu.edu
2/23/1983,DGS3MO,,,,,8.24,5.30E-05,,daily,USD,dzhang4@scu.edu
2/24/1983,DGS3MO,,,,,8.2,0.000335807,,daily,USD,dzhang4@scu.edu
2/25/1983,DGS3MO,,,,,8.08,0.000538824,,daily,USD,dzhang4@scu.edu
2/28/1983,DGS3MO,,,,,8.21,0.000355515,,daily,USD,dzhang4@scu.edu
3/1/1983,DGS3MO,,,,,8.26,0.000105215,,daily,USD,dzhang4@scu.edu
3/2/1983,DGS3MO,,,,,8.3,0.000132174,,daily,USD,dzhang4@scu.edu
3/3/1983,DGS3MO,,,,,8.25,0.00036309,,daily,USD,dzhang4@scu.edu
3/4/1983,DGS3MO,,,,,8.29,0.000131887,,daily,USD,dzhang4@scu.edu
3/7/1983,DGS3MO,,,,,8.48,0.000220401,,daily,USD,dzhang4@scu.edu
