start_date,end_date,reported_date,country,indicator,adj_value_unemp,adj_rate,unadj_value,unadj_rate,frequency,currency,author
10/1/1950,10/31/1950,NULL,USA,unemp,2625,4.2,2055,3.3,monthly,USD,kshah5@scu.edu
11/1/1950,11/30/1950,NULL,USA,unemp,2589,4.2,2356,3.8,monthly,USD,kshah5@scu.edu
12/1/1950,12/31/1950,NULL,USA,unemp,2639,4.3,2409,3.9,monthly,USD,kshah5@scu.edu
1/1/1951,1/31/1951,NULL,USA,unemp,2305,3.7,2649,4.4,monthly,USD,kshah5@scu.edu
2/1/1951,2/28/1951,NULL,USA,unemp,2117,3.4,2538,4.2,monthly,USD,kshah5@scu.edu
3/1/1951,3/31/1951,NULL,USA,unemp,2125,3.4,2323,3.8,monthly,USD,kshah5@scu.edu
4/1/1951,4/30/1951,NULL,USA,unemp,1919,3.1,1938,3.2,monthly,USD,kshah5@scu.edu
5/1/1951,5/31/1951,NULL,USA,unemp,1856,3,1770,2.9,monthly,USD,kshah5@scu.edu
6/1/1951,6/30/1951,NULL,USA,unemp,1995,3.2,2132,3.4,monthly,USD,kshah5@scu.edu
7/1/1951,7/31/1951,NULL,USA,unemp,1950,3.1,2072,3.3,monthly,USD,kshah5@scu.edu
8/1/1951,8/31/1951,NULL,USA,unemp,1933,3.1,1806,2.9,monthly,USD,kshah5@scu.edu
9/1/1951,9/30/1951,NULL,USA,unemp,2067,3.3,1886,3,monthly,USD,kshah5@scu.edu
10/1/1951,10/31/1951,NULL,USA,unemp,2194,3.5,1754,2.8,monthly,USD,kshah5@scu.edu
11/1/1951,11/30/1951,NULL,USA,unemp,2178,3.5,1990,3.2,monthly,USD,kshah5@scu.edu
12/1/1951,12/31/1951,NULL,USA,unemp,1960,3.1,1796,2.9,monthly,USD,kshah5@scu.edu
1/1/1952,1/31/1952,NULL,USA,unemp,1972,3.2,2258,3.7,monthly,USD,kshah5@scu.edu
2/1/1952,2/28/1952,NULL,USA,unemp,1957,3.1,2340,3.8,monthly,USD,kshah5@scu.edu
3/1/1952,3/31/1952,NULL,USA,unemp,1813,2.9,2002,3.3,monthly,USD,kshah5@scu.edu
4/1/1952,4/30/1952,NULL,USA,unemp,1811,2.9,1836,3,monthly,USD,kshah5@scu.edu
5/1/1952,5/31/1952,NULL,USA,unemp,1863,3,1782,2.9,monthly,USD,kshah5@scu.edu
6/1/1952,6/30/1952,NULL,USA,unemp,1884,3,2032,3.2,monthly,USD,kshah5@scu.edu
7/1/1952,7/31/1952,NULL,USA,unemp,1991,3.2,2085,3.3,monthly,USD,kshah5@scu.edu
8/1/1952,8/31/1952,NULL,USA,unemp,2087,3.4,1918,3.1,monthly,USD,kshah5@scu.edu
9/1/1952,9/30/1952,NULL,USA,unemp,1936,3.1,1728,2.7,monthly,USD,kshah5@scu.edu
10/1/1952,10/31/1952,NULL,USA,unemp,1839,3,1480,2.4,monthly,USD,kshah5@scu.edu
11/1/1952,11/30/1952,NULL,USA,unemp,1743,2.8,1594,2.5,monthly,USD,kshah5@scu.edu
12/1/1952,12/31/1952,NULL,USA,unemp,1667,2.7,1545,2.5,monthly,USD,kshah5@scu.edu
1/1/1953,1/31/1953,NULL,USA,unemp,1839,2.9,2132,3.4,monthly,USD,kshah5@scu.edu
2/1/1953,2/28/1953,NULL,USA,unemp,1636,2.6,1964,3.2,monthly,USD,kshah5@scu.edu
3/1/1953,3/31/1953,NULL,USA,unemp,1647,2.6,1828,2.9,monthly,USD,kshah5@scu.edu
4/1/1953,4/30/1953,NULL,USA,unemp,1723,2.7,1764,2.8,monthly,USD,kshah5@scu.edu
5/1/1953,5/31/1953,NULL,USA,unemp,1596,2.5,1536,2.5,monthly,USD,kshah5@scu.edu
6/1/1953,6/30/1953,NULL,USA,unemp,1607,2.5,1732,2.7,monthly,USD,kshah5@scu.edu
7/1/1953,7/31/1953,NULL,USA,unemp,1660,2.6,1710,2.7,monthly,USD,kshah5@scu.edu
8/1/1953,8/31/1953,NULL,USA,unemp,1665,2.7,1512,2.4,monthly,USD,kshah5@scu.edu
9/1/1953,9/30/1953,NULL,USA,unemp,1821,2.9,1619,2.6,monthly,USD,kshah5@scu.edu
10/1/1953,10/31/1953,NULL,USA,unemp,1974,3.1,1572,2.5,monthly,USD,kshah5@scu.edu
11/1/1953,11/30/1953,NULL,USA,unemp,2211,3.5,2017,3.2,monthly,USD,kshah5@scu.edu
12/1/1953,12/31/1953,NULL,USA,unemp,2818,4.5,2634,4.2,monthly,USD,kshah5@scu.edu
1/1/1954,1/31/1954,NULL,USA,unemp,3077,4.9,3561,5.7,monthly,USD,kshah5@scu.edu
2/1/1954,2/28/1954,NULL,USA,unemp,3331,5.2,3983,6.3,monthly,USD,kshah5@scu.edu
3/1/1954,3/31/1954,NULL,USA,unemp,3607,5.7,4037,6.4,monthly,USD,kshah5@scu.edu
4/1/1954,4/30/1954,NULL,USA,unemp,3749,5.9,3846,6.1,monthly,USD,kshah5@scu.edu
5/1/1954,5/31/1954,NULL,USA,unemp,3767,5.9,3658,5.7,monthly,USD,kshah5@scu.edu
6/1/1954,6/30/1954,NULL,USA,unemp,3551,5.6,3681,5.7,monthly,USD,kshah5@scu.edu
7/1/1954,7/31/1954,NULL,USA,unemp,3659,5.8,3679,5.7,monthly,USD,kshah5@scu.edu
8/1/1954,8/31/1954,NULL,USA,unemp,3854,6,3470,5.4,monthly,USD,kshah5@scu.edu
9/1/1954,9/30/1954,NULL,USA,unemp,3927,6.1,3433,5.3,monthly,USD,kshah5@scu.edu
10/1/1954,10/31/1954,NULL,USA,unemp,3666,5.7,2929,4.6,monthly,USD,kshah5@scu.edu
11/1/1954,11/30/1954,NULL,USA,unemp,3402,5.3,3115,4.9,monthly,USD,kshah5@scu.edu
12/1/1954,12/31/1954,NULL,USA,unemp,3196,5,3009,4.8,monthly,USD,kshah5@scu.edu
1/1/1955,1/31/1955,NULL,USA,unemp,3157,4.9,3669,5.8,monthly,USD,kshah5@scu.edu
2/1/1955,2/28/1955,NULL,USA,unemp,2969,4.7,3569,5.7,monthly,USD,kshah5@scu.edu
3/1/1955,3/31/1955,NULL,USA,unemp,2918,4.6,3297,5.2,monthly,USD,kshah5@scu.edu
4/1/1955,4/30/1955,NULL,USA,unemp,3049,4.7,3162,4.9,monthly,USD,kshah5@scu.edu
5/1/1955,5/31/1955,NULL,USA,unemp,2747,4.3,2690,4.2,monthly,USD,kshah5@scu.edu
6/1/1955,6/30/1955,NULL,USA,unemp,2701,4.2,2893,4.4,monthly,USD,kshah5@scu.edu
7/1/1955,7/31/1955,NULL,USA,unemp,2632,4,2662,4,monthly,USD,kshah5@scu.edu
8/1/1955,8/31/1955,NULL,USA,unemp,2784,4.2,2536,3.8,monthly,USD,kshah5@scu.edu
9/1/1955,9/30/1955,NULL,USA,unemp,2678,4.1,2338,3.5,monthly,USD,kshah5@scu.edu
10/1/1955,10/31/1955,NULL,USA,unemp,2830,4.3,2284,3.4,monthly,USD,kshah5@scu.edu
11/1/1955,11/30/1955,NULL,USA,unemp,2780,4.2,2536,3.8,monthly,USD,kshah5@scu.edu
12/1/1955,12/31/1955,NULL,USA,unemp,2761,4.2,2601,3.9,monthly,USD,kshah5@scu.edu
1/1/1956,1/31/1956,NULL,USA,unemp,2666,4,3066,4.7,monthly,USD,kshah5@scu.edu
2/1/1956,2/28/1956,NULL,USA,unemp,2606,3.9,3092,4.8,monthly,USD,kshah5@scu.edu
3/1/1956,3/31/1956,NULL,USA,unemp,2764,4.2,3095,4.7,monthly,USD,kshah5@scu.edu
4/1/1956,4/30/1956,NULL,USA,unemp,2650,4,2710,4.1,monthly,USD,kshah5@scu.edu
5/1/1956,5/31/1956,NULL,USA,unemp,2861,4.3,2799,4.2,monthly,USD,kshah5@scu.edu
6/1/1956,6/30/1956,NULL,USA,unemp,2882,4.3,3179,4.7,monthly,USD,kshah5@scu.edu
7/1/1956,7/31/1956,NULL,USA,unemp,2952,4.4,2984,4.4,monthly,USD,kshah5@scu.edu
8/1/1956,8/31/1956,NULL,USA,unemp,2701,4.1,2467,3.7,monthly,USD,kshah5@scu.edu
9/1/1956,9/30/1956,NULL,USA,unemp,2635,3.9,2273,3.4,monthly,USD,kshah5@scu.edu
10/1/1956,10/31/1956,NULL,USA,unemp,2571,3.9,2091,3.1,monthly,USD,kshah5@scu.edu
11/1/1956,11/30/1956,NULL,USA,unemp,2861,4.3,2599,3.9,monthly,USD,kshah5@scu.edu
12/1/1956,12/31/1956,NULL,USA,unemp,2790,4.2,2660,4,monthly,USD,kshah5@scu.edu
1/1/1957,1/31/1957,NULL,USA,unemp,2796,4.2,3206,4.9,monthly,USD,kshah5@scu.edu
2/1/1957,2/28/1957,NULL,USA,unemp,2622,3.9,3085,4.7,monthly,USD,kshah5@scu.edu
3/1/1957,3/31/1957,NULL,USA,unemp,2509,3.7,2822,4.3,monthly,USD,kshah5@scu.edu
4/1/1957,4/30/1957,NULL,USA,unemp,2600,3.9,2627,4,monthly,USD,kshah5@scu.edu
5/1/1957,5/31/1957,NULL,USA,unemp,2710,4.1,2635,3.9,monthly,USD,kshah5@scu.edu
6/1/1957,6/30/1957,NULL,USA,unemp,2856,4.3,3131,4.6,monthly,USD,kshah5@scu.edu
7/1/1957,7/31/1957,NULL,USA,unemp,2796,4.2,2843,4.1,monthly,USD,kshah5@scu.edu
8/1/1957,8/31/1957,NULL,USA,unemp,2747,4.1,2526,3.7,monthly,USD,kshah5@scu.edu
9/1/1957,9/30/1957,NULL,USA,unemp,2943,4.4,2503,3.7,monthly,USD,kshah5@scu.edu
10/1/1957,10/31/1957,NULL,USA,unemp,3020,4.5,2465,3.6,monthly,USD,kshah5@scu.edu
11/1/1957,11/30/1957,NULL,USA,unemp,3454,5.1,3127,4.6,monthly,USD,kshah5@scu.edu
12/1/1957,12/31/1957,NULL,USA,unemp,3476,5.2,3332,5,monthly,USD,kshah5@scu.edu
1/1/1958,1/31/1958,NULL,USA,unemp,3875,5.8,4464,6.8,monthly,USD,kshah5@scu.edu
2/1/1958,2/28/1958,NULL,USA,unemp,4303,6.4,5116,7.7,monthly,USD,kshah5@scu.edu
3/1/1958,3/31/1958,NULL,USA,unemp,4492,6.7,5155,7.7,monthly,USD,kshah5@scu.edu
4/1/1958,4/30/1958,NULL,USA,unemp,5016,7.4,5064,7.5,monthly,USD,kshah5@scu.edu
5/1/1958,5/31/1958,NULL,USA,unemp,5021,7.4,4832,7.1,monthly,USD,kshah5@scu.edu
6/1/1958,6/30/1958,NULL,USA,unemp,4944,7.3,5223,7.6,monthly,USD,kshah5@scu.edu
7/1/1958,7/31/1958,NULL,USA,unemp,5079,7.5,5098,7.4,monthly,USD,kshah5@scu.edu
8/1/1958,8/31/1958,NULL,USA,unemp,5025,7.4,4607,6.7,monthly,USD,kshah5@scu.edu
9/1/1958,9/30/1958,NULL,USA,unemp,4821,7.1,4058,6,monthly,USD,kshah5@scu.edu
10/1/1958,10/31/1958,NULL,USA,unemp,4570,6.7,3750,5.5,monthly,USD,kshah5@scu.edu
11/1/1958,11/30/1958,NULL,USA,unemp,4188,6.2,3785,5.6,monthly,USD,kshah5@scu.edu
12/1/1958,12/31/1958,NULL,USA,unemp,4191,6.2,4068,6,monthly,USD,kshah5@scu.edu
1/1/1959,1/31/1959,NULL,USA,unemp,4068,6,4678,7,monthly,USD,kshah5@scu.edu
2/1/1959,2/28/1959,NULL,USA,unemp,3965,5.9,4698,7,monthly,USD,kshah5@scu.edu
3/1/1959,3/31/1959,NULL,USA,unemp,3801,5.6,4298,6.4,monthly,USD,kshah5@scu.edu
4/1/1959,4/30/1959,NULL,USA,unemp,3571,5.2,3558,5.2,monthly,USD,kshah5@scu.edu
5/1/1959,5/31/1959,NULL,USA,unemp,3479,5.1,3327,4.9,monthly,USD,kshah5@scu.edu
6/1/1959,6/30/1959,NULL,USA,unemp,3429,5,3780,5.4,monthly,USD,kshah5@scu.edu
7/1/1959,7/31/1959,NULL,USA,unemp,3528,5.1,3605,5.2,monthly,USD,kshah5@scu.edu
8/1/1959,8/31/1959,NULL,USA,unemp,3588,5.2,3347,4.8,monthly,USD,kshah5@scu.edu
9/1/1959,9/30/1959,NULL,USA,unemp,3775,5.5,3195,4.7,monthly,USD,kshah5@scu.edu
10/1/1959,10/31/1959,NULL,USA,unemp,3910,5.7,3231,4.7,monthly,USD,kshah5@scu.edu
11/1/1959,11/30/1959,NULL,USA,unemp,4003,5.8,3636,5.3,monthly,USD,kshah5@scu.edu
12/1/1959,12/31/1959,NULL,USA,unemp,3653,5.3,3521,5.1,monthly,USD,kshah5@scu.edu
1/1/1960,1/31/1960,NULL,USA,unemp,3615,5.2,4119,6.1,monthly,USD,kshah5@scu.edu
2/1/1960,2/28/1960,NULL,USA,unemp,3329,4.8,3886,5.7,monthly,USD,kshah5@scu.edu
3/1/1960,3/31/1960,NULL,USA,unemp,3726,5.4,4164,6.1,monthly,USD,kshah5@scu.edu
4/1/1960,4/30/1960,NULL,USA,unemp,3620,5.2,3607,5.2,monthly,USD,kshah5@scu.edu
5/1/1960,5/31/1960,NULL,USA,unemp,3569,5.1,3380,4.8,monthly,USD,kshah5@scu.edu
6/1/1960,6/30/1960,NULL,USA,unemp,3766,5.4,4172,5.8,monthly,USD,kshah5@scu.edu
7/1/1960,7/31/1960,NULL,USA,unemp,3836,5.5,3884,5.5,monthly,USD,kshah5@scu.edu
8/1/1960,8/31/1960,NULL,USA,unemp,3946,5.6,3711,5.2,monthly,USD,kshah5@scu.edu
9/1/1960,9/30/1960,NULL,USA,unemp,3884,5.5,3315,4.7,monthly,USD,kshah5@scu.edu
10/1/1960,10/31/1960,NULL,USA,unemp,4252,6.1,3537,5,monthly,USD,kshah5@scu.edu
11/1/1960,11/30/1960,NULL,USA,unemp,4330,6.1,3967,5.6,monthly,USD,kshah5@scu.edu
12/1/1960,12/31/1960,NULL,USA,unemp,4617,6.6,4470,6.4,monthly,USD,kshah5@scu.edu
1/1/1961,1/31/1961,NULL,USA,unemp,4671,6.6,5335,7.7,monthly,USD,kshah5@scu.edu
2/1/1961,2/28/1961,NULL,USA,unemp,4832,6.9,5654,8.1,monthly,USD,kshah5@scu.edu
3/1/1961,3/31/1961,NULL,USA,unemp,4853,6.9,5423,7.7,monthly,USD,kshah5@scu.edu
4/1/1961,4/30/1961,NULL,USA,unemp,4893,7,4887,7,monthly,USD,kshah5@scu.edu
5/1/1961,5/31/1961,NULL,USA,unemp,5003,7.1,4671,6.6,monthly,USD,kshah5@scu.edu
6/1/1961,6/30/1961,NULL,USA,unemp,4885,6.9,5313,7.3,monthly,USD,kshah5@scu.edu
7/1/1961,7/31/1961,NULL,USA,unemp,4928,7,4961,6.9,monthly,USD,kshah5@scu.edu
8/1/1961,8/31/1961,NULL,USA,unemp,4682,6.6,4440,6.2,monthly,USD,kshah5@scu.edu
9/1/1961,9/30/1961,NULL,USA,unemp,4676,6.7,4034,5.8,monthly,USD,kshah5@scu.edu
10/1/1961,10/31/1961,NULL,USA,unemp,4573,6.5,3863,5.5,monthly,USD,kshah5@scu.edu
11/1/1961,11/30/1961,NULL,USA,unemp,4295,6.1,3941,5.6,monthly,USD,kshah5@scu.edu
12/1/1961,12/31/1961,NULL,USA,unemp,4177,6,4041,5.8,monthly,USD,kshah5@scu.edu
1/1/1962,1/31/1962,NULL,USA,unemp,4081,5.8,4621,6.7,monthly,USD,kshah5@scu.edu
2/1/1962,2/28/1962,NULL,USA,unemp,3871,5.5,4481,6.5,monthly,USD,kshah5@scu.edu
3/1/1962,3/31/1962,NULL,USA,unemp,3921,5.6,4323,6.2,monthly,USD,kshah5@scu.edu
4/1/1962,4/30/1962,NULL,USA,unemp,3906,5.6,3863,5.5,monthly,USD,kshah5@scu.edu
5/1/1962,5/31/1962,NULL,USA,unemp,3863,5.5,3592,5.1,monthly,USD,kshah5@scu.edu
6/1/1962,6/30/1962,NULL,USA,unemp,3844,5.5,4219,5.9,monthly,USD,kshah5@scu.edu
7/1/1962,7/31/1962,NULL,USA,unemp,3819,5.4,3829,5.3,monthly,USD,kshah5@scu.edu
8/1/1962,8/31/1962,NULL,USA,unemp,4013,5.7,3842,5.3,monthly,USD,kshah5@scu.edu
9/1/1962,9/30/1962,NULL,USA,unemp,3961,5.6,3455,4.9,monthly,USD,kshah5@scu.edu
10/1/1962,10/31/1962,NULL,USA,unemp,3803,5.4,3234,4.5,monthly,USD,kshah5@scu.edu
11/1/1962,11/30/1962,NULL,USA,unemp,4024,5.7,3726,5.3,monthly,USD,kshah5@scu.edu
12/1/1962,12/31/1962,NULL,USA,unemp,3907,5.5,3760,5.3,monthly,USD,kshah5@scu.edu
1/1/1963,1/31/1963,NULL,USA,unemp,4074,5.7,4627,6.6,monthly,USD,kshah5@scu.edu
2/1/1963,2/28/1963,NULL,USA,unemp,4238,5.9,4870,6.9,monthly,USD,kshah5@scu.edu
3/1/1963,3/31/1963,NULL,USA,unemp,4072,5.7,4442,6.3,monthly,USD,kshah5@scu.edu
4/1/1963,4/30/1963,NULL,USA,unemp,4055,5.7,3993,5.6,monthly,USD,kshah5@scu.edu
5/1/1963,5/31/1963,NULL,USA,unemp,4217,5.9,3949,5.5,monthly,USD,kshah5@scu.edu
6/1/1963,6/30/1963,NULL,USA,unemp,3977,5.6,4554,6.2,monthly,USD,kshah5@scu.edu
7/1/1963,7/31/1963,NULL,USA,unemp,4051,5.6,4140,5.6,monthly,USD,kshah5@scu.edu
8/1/1963,8/31/1963,NULL,USA,unemp,3878,5.4,3755,5.2,monthly,USD,kshah5@scu.edu
9/1/1963,9/30/1963,NULL,USA,unemp,3957,5.5,3470,4.8,monthly,USD,kshah5@scu.edu
10/1/1963,10/31/1963,NULL,USA,unemp,3987,5.5,3394,4.7,monthly,USD,kshah5@scu.edu
11/1/1963,11/30/1963,NULL,USA,unemp,4151,5.7,3858,5.3,monthly,USD,kshah5@scu.edu
12/1/1963,12/31/1963,NULL,USA,unemp,3975,5.5,3788,5.3,monthly,USD,kshah5@scu.edu
1/1/1964,1/31/1964,NULL,USA,unemp,4029,5.6,4518,6.4,monthly,USD,kshah5@scu.edu
2/1/1964,2/28/1964,NULL,USA,unemp,3932,5.4,4461,6.2,monthly,USD,kshah5@scu.edu
3/1/1964,3/31/1964,NULL,USA,unemp,3950,5.4,4225,5.9,monthly,USD,kshah5@scu.edu
4/1/1964,4/30/1964,NULL,USA,unemp,3918,5.3,3831,5.3,monthly,USD,kshah5@scu.edu
5/1/1964,5/31/1964,NULL,USA,unemp,3764,5.1,3528,4.8,monthly,USD,kshah5@scu.edu
6/1/1964,6/30/1964,NULL,USA,unemp,3814,5.2,4453,5.9,monthly,USD,kshah5@scu.edu
7/1/1964,7/31/1964,NULL,USA,unemp,3608,4.9,3675,4.9,monthly,USD,kshah5@scu.edu
8/1/1964,8/31/1964,NULL,USA,unemp,3655,5,3551,4.8,monthly,USD,kshah5@scu.edu
9/1/1964,9/30/1964,NULL,USA,unemp,3712,5.1,3262,4.5,monthly,USD,kshah5@scu.edu
10/1/1964,10/31/1964,NULL,USA,unemp,3726,5.1,3198,4.4,monthly,USD,kshah5@scu.edu
11/1/1964,11/30/1964,NULL,USA,unemp,3551,4.8,3318,4.5,monthly,USD,kshah5@scu.edu
12/1/1964,12/31/1964,NULL,USA,unemp,3651,5,3409,4.7,monthly,USD,kshah5@scu.edu
1/1/1965,1/31/1965,NULL,USA,unemp,3572,4.9,3942,5.5,monthly,USD,kshah5@scu.edu
2/1/1965,2/28/1965,NULL,USA,unemp,3730,5.1,4172,5.7,monthly,USD,kshah5@scu.edu
3/1/1965,3/31/1965,NULL,USA,unemp,3510,4.7,3699,5.1,monthly,USD,kshah5@scu.edu
4/1/1965,4/30/1965,NULL,USA,unemp,3595,4.8,3492,4.7,monthly,USD,kshah5@scu.edu
5/1/1965,5/31/1965,NULL,USA,unemp,3432,4.6,3214,4.3,monthly,USD,kshah5@scu.edu
6/1/1965,6/30/1965,NULL,USA,unemp,3387,4.6,4057,5.3,monthly,USD,kshah5@scu.edu
7/1/1965,7/31/1965,NULL,USA,unemp,3301,4.4,3429,4.5,monthly,USD,kshah5@scu.edu
8/1/1965,8/31/1965,NULL,USA,unemp,3254,4.4,3165,4.2,monthly,USD,kshah5@scu.edu
9/1/1965,9/30/1965,NULL,USA,unemp,3216,4.3,2842,3.8,monthly,USD,kshah5@scu.edu
10/1/1965,10/31/1965,NULL,USA,unemp,3143,4.2,2709,3.6,monthly,USD,kshah5@scu.edu
11/1/1965,11/30/1965,NULL,USA,unemp,3073,4.1,2888,3.9,monthly,USD,kshah5@scu.edu
12/1/1965,12/31/1965,NULL,USA,unemp,3031,4,2786,3.7,monthly,USD,kshah5@scu.edu
1/1/1966,1/31/1966,NULL,USA,unemp,2988,4,3244,4.4,monthly,USD,kshah5@scu.edu
2/1/1966,2/28/1966,NULL,USA,unemp,2820,3.8,3109,4.2,monthly,USD,kshah5@scu.edu
3/1/1966,3/31/1966,NULL,USA,unemp,2887,3.8,2990,4,monthly,USD,kshah5@scu.edu
4/1/1966,4/30/1966,NULL,USA,unemp,2828,3.8,2730,3.6,monthly,USD,kshah5@scu.edu
5/1/1966,5/31/1966,NULL,USA,unemp,2950,3.9,2793,3.7,monthly,USD,kshah5@scu.edu
6/1/1966,6/30/1966,NULL,USA,unemp,2872,3.8,3592,4.6,monthly,USD,kshah5@scu.edu
7/1/1966,7/31/1966,NULL,USA,unemp,2876,3.8,3050,3.9,monthly,USD,kshah5@scu.edu
8/1/1966,8/31/1966,NULL,USA,unemp,2900,3.8,2821,3.6,monthly,USD,kshah5@scu.edu
9/1/1966,9/30/1966,NULL,USA,unemp,2798,3.7,2503,3.3,monthly,USD,kshah5@scu.edu
10/1/1966,10/31/1966,NULL,USA,unemp,2798,3.7,2465,3.2,monthly,USD,kshah5@scu.edu
11/1/1966,11/30/1966,NULL,USA,unemp,2770,3.6,2579,3.4,monthly,USD,kshah5@scu.edu
12/1/1966,12/31/1966,NULL,USA,unemp,2912,3.8,2655,3.5,monthly,USD,kshah5@scu.edu
1/1/1967,1/31/1967,NULL,USA,unemp,2968,3.9,3159,4.2,monthly,USD,kshah5@scu.edu
2/1/1967,2/28/1967,NULL,USA,unemp,2915,3.8,3184,4.2,monthly,USD,kshah5@scu.edu
3/1/1967,3/31/1967,NULL,USA,unemp,2889,3.8,2954,3.9,monthly,USD,kshah5@scu.edu
4/1/1967,4/30/1967,NULL,USA,unemp,2895,3.8,2664,3.5,monthly,USD,kshah5@scu.edu
5/1/1967,5/31/1967,NULL,USA,unemp,2929,3.8,2458,3.2,monthly,USD,kshah5@scu.edu
6/1/1967,6/30/1967,NULL,USA,unemp,2992,3.9,3628,4.6,monthly,USD,kshah5@scu.edu
7/1/1967,7/31/1967,NULL,USA,unemp,2944,3.8,3249,4.1,monthly,USD,kshah5@scu.edu
8/1/1967,8/31/1967,NULL,USA,unemp,2945,3.8,2942,3.7,monthly,USD,kshah5@scu.edu
9/1/1967,9/30/1967,NULL,USA,unemp,2958,3.8,2895,3.7,monthly,USD,kshah5@scu.edu
10/1/1967,10/31/1967,NULL,USA,unemp,3143,4,2952,3.8,monthly,USD,kshah5@scu.edu
11/1/1967,11/30/1967,NULL,USA,unemp,3066,3.9,2903,3.7,monthly,USD,kshah5@scu.edu
12/1/1967,12/31/1967,NULL,USA,unemp,3018,3.8,2720,3.5,monthly,USD,kshah5@scu.edu
1/1/1968,1/31/1968,NULL,USA,unemp,2878,3.7,3074,4,monthly,USD,kshah5@scu.edu
2/1/1968,2/28/1968,NULL,USA,unemp,3001,3.8,3287,4.2,monthly,USD,kshah5@scu.edu
3/1/1968,3/31/1968,NULL,USA,unemp,2877,3.7,2929,3.8,monthly,USD,kshah5@scu.edu
4/1/1968,4/30/1968,NULL,USA,unemp,2709,3.5,2491,3.2,monthly,USD,kshah5@scu.edu
5/1/1968,5/31/1968,NULL,USA,unemp,2740,3.5,2304,2.9,monthly,USD,kshah5@scu.edu
